activation,optimizer,learning_rate,architecture,batch_size,training_time,val_metrics,test_metrics,train_loss_history,val_loss_history
tanh,batch,0.01,"[5000, 128, 90]",32,3.743533134460449,"{'Hamming Loss': array(0.03316888), 'Accuracy': array(0.), 'Precision': array(0.20763621), 'Recall': array(0.5060115), 'F1 Score': array(0.29444867)}","{'Hamming Loss': array(0.03285488), 'Accuracy': array(0.), 'Precision': array(0.21386773), 'Recall': array(0.51736111), 'F1 Score': array(0.30263261)}","[0.6931709588055498, 0.21328270896961082, 0.4223563241997353, 0.42235628050708324, 0.422356221130527, 0.4223561352529776, 0.4223559994853319, 0.42235575353861843, 0.42235519191119586, 0.422353130942569, 0.42232027912244213, 0.45198946860265404, 0.42235645862527094, 0.42235644284397267, 0.42235642450178634, 0.4223564028729774, 0.4223563769182812, 0.42235634509219294, 0.42235630498776333, 0.4223562526340132, 0.42235618097754035, 0.4223560762024464, 0.4223559073171042, 0.42235558934015, 0.4223547978435049, 0.4223511148716524, 0.42217242086847695, 0.6093788580130644, 0.6093787905254454, 0.6093786882502625]","[0.21274920956804685, 0.4271286319681283, 0.4271285883834686, 0.4271285294004616, 0.427128444441546, 0.42712831064574935, 0.4271280691027801, 0.4271275190439486, 0.4271255041565668, 0.4270934104351147, 0.4570857876598781, 0.4271287454311582, 0.42712872697836246, 0.42712870551045024, 0.4271286801714037, 0.42712864973534104, 0.42712861237923444, 0.42712856526402493, 0.42712850370615113, 0.42712841938724666, 0.427128296015337, 0.42712809704825067, 0.42712772229338886, 0.4271267892739624, 0.42712244744845196, 0.42691177382147205, 0.6109929722174835, 0.6109928918887008, 0.6109927698423031, 0.6109925638821269]"
tanh,batch,0.01,"[5000, 128, 64, 90]",32,2.5150973796844482,"{'Hamming Loss': array(0.02318747), 'Accuracy': array(0.001287), 'Precision': array(0.28603604), 'Recall': array(0.46471511), 'F1 Score': array(0.35411273)}","{'Hamming Loss': array(0.02270803), 'Accuracy': array(0.00066247), 'Precision': array(0.29910566), 'Recall': array(0.48237179), 'F1 Score': array(0.36924964)}","[0.6935068757192023, 0.21276657691419326, 0.42235620194112966, 0.422356174983076, 0.4223561443174429, 0.42235610908737053, 0.42235606814450055, 0.4223560199119765, 0.4223559621615205, 0.4223558916340315, 0.42235580335795064, 0.4223556893405039, 0.42235553583601965, 0.4223553169936048, 0.42235497777264175, 0.4223543774283495, 0.42235303166093335, 0.4223479928422604, 0.422245393213109, 0.5761281322215042]","[0.21234584332698922, 0.42712852190910405, 0.42712849533733815, 0.4271284651510431, 0.4271284305197888, 0.4271283903315953, 0.4271283430608983, 0.4271282865538358, 0.42712821766304143, 0.42712813159192803, 0.42712802063648964, 0.42712787156081106, 0.42712765949776976, 0.4271273315545202, 0.42712675260811456, 0.42712545809427854, 0.4271206222360264, 0.42702228280733767, 0.5820206790818702, 0.4271252333919983]"
tanh,batch,0.01,"[5000, 128, 64, 90]",32,3.7948427200317383,"{'Hamming Loss': array(0.02318747), 'Accuracy': array(0.001287), 'Precision': array(0.28603604), 'Recall': array(0.46471511), 'F1 Score': array(0.35411273)}","{'Hamming Loss': array(0.02270803), 'Accuracy': array(0.00066247), 'Precision': array(0.29910566), 'Recall': array(0.48237179), 'F1 Score': array(0.36924964)}","[0.6930746288901664, 0.20398289532622024, 0.4223565760119947, 0.42235657449194325, 0.4223565729261328, 0.4223565713122294, 0.4223565696477279, 0.4223565679299351, 0.4223565661559517, 0.4223565643226517, 0.42235656242665814, 0.4223565604643184, 0.42235655843167297, 0.4223565563244226, 0.4223565541378899, 0.42235655186697535, 0.42235654950610785, 0.42235654704918757, 0.42235654448951954, 0.4223565418197385, 0.4223565390317202, 0.4223565361164791, 0.4223565330640492, 0.42235652986334354, 0.42235652650198924, 0.4223565229661318, 0.4223565192402034, 0.422356515306645, 0.42235651114557254, 0.4223565067343744]","[0.20343488858305406, 0.42712889855126773, 0.4271288970638382, 0.4271288955321241, 0.42712889395387865, 0.42712889232669077, 0.42712889064796894, 0.4271288889149239, 0.4271288871245484, 0.4271288852735949, 0.4271288833585503, 0.427128881375608, 0.4271288793206346, 0.4271288771891344, 0.4271288749762064, 0.4271288726764971, 0.42712887028414587, 0.4271288677927213, 0.42712886519514853, 0.4271288624836251, 0.42712885964952263, 0.427128856683272, 0.4271288535742295, 0.4271288503105176, 0.427128846878839, 0.42712884326425293, 0.4271288394499094, 0.42712883541672997, 0.42712883114302025, 0.42712882660400087]"
tanh,batch,0.001,"[5000, 128, 90]",32,2.544663190841675,"{'Hamming Loss': array(0.02318747), 'Accuracy': array(0.001287), 'Precision': array(0.28603604), 'Recall': array(0.46471511), 'F1 Score': array(0.35411273)}","{'Hamming Loss': array(0.02270803), 'Accuracy': array(0.00066247), 'Precision': array(0.29910566), 'Recall': array(0.48237179), 'F1 Score': array(0.36924964)}","[0.6929573532660781, 0.0698769885507578, 0.9223370762516018, 0.7403840397655155, 0.5856451103908683, 0.5849972987967599, 0.5153353754321074, 0.409101701853613, 0.4072005917930921, 0.4450742562891267, 0.41245493342694933, 0.41029676597756126, 0.4099122178073566, 0.41016736195515857, 0.40966790001186193, 0.40880750043049263, 0.4088718940768396, 0.409024273924002, 0.4089234679917793, 0.409084479698912]","[0.07008312092287494, 0.9233191744545475, 0.7441037393044732, 0.590452811618716, 0.5905897370601069, 0.5201965325931697, 0.4129290264414061, 0.4114432495582193, 0.44990221884228565, 0.41681918321622125, 0.41455995292166253, 0.41386047375821533, 0.4144870242668547, 0.4142046546492366, 0.4133750592068572, 0.41306605396181056, 0.4134099116585392, 0.4133697374889112, 0.4136239800407361, 0.41381305118414274]"
tanh,batch,0.001,"[5000, 128, 90]",32,3.8105735778808594,"{'Hamming Loss': array(0.02318747), 'Accuracy': array(0.001287), 'Precision': array(0.28603604), 'Recall': array(0.46471511), 'F1 Score': array(0.35411273)}","{'Hamming Loss': array(0.02270803), 'Accuracy': array(0.00066247), 'Precision': array(0.29910566), 'Recall': array(0.48237179), 'F1 Score': array(0.36924964)}","[0.6934075182229353, 0.07494967887743531, 0.9559818812380529, 0.40301269475392354, 0.4061661929353849, 0.41511521378737015, 0.40770232798376993, 0.40729786817926344, 0.40832558524884716, 0.4078323448264154, 0.40883876458402685, 0.40875817392954733, 0.4085693986575783, 0.40995757424419516, 0.4098413785503789, 0.4092926161873811, 0.4087921532531543, 0.4088208379815056, 0.40891805053682906, 0.40918293407460277, 0.408674750161383, 0.40961032830700456, 0.4094522085378005, 0.40936444037816205, 0.40980930108563834, 0.4095926000407065, 0.41017578013633593, 0.4102396072788812, 0.40960474028718713, 0.40925397793598317]","[0.07506147931801586, 0.9549835784416685, 0.40694840028790463, 0.41038560592324647, 0.4197606804215748, 0.411570364628179, 0.41142590545063257, 0.4122209107860999, 0.41189733177425814, 0.41209105888455905, 0.4125467275117044, 0.4121447307410334, 0.4144758921191479, 0.41446420126676903, 0.41384919865493486, 0.41285676317228753, 0.4135550460237483, 0.4131809818970373, 0.41375685673723867, 0.41313030811886337, 0.41409947956196924, 0.4134753614278036, 0.4135967675313204, 0.41476317414535907, 0.41452462911365506, 0.4149254371440048, 0.4150104900720519, 0.4143991132574995, 0.41405115277499793, 0.4143074416766178]"
tanh,batch,0.001,"[5000, 128, 64, 90]",32,2.5497078895568848,"{'Hamming Loss': array(0.02318747), 'Accuracy': array(0.001287), 'Precision': array(0.28603604), 'Recall': array(0.46471511), 'F1 Score': array(0.35411273)}","{'Hamming Loss': array(0.02270803), 'Accuracy': array(0.00066247), 'Precision': array(0.29910566), 'Recall': array(0.48237179), 'F1 Score': array(0.36924964)}","[0.6932066472230034, 0.07921681763111493, 0.5791540490899759, 0.4153065063274135, 0.4002732584031973, 0.3993550540096681, 0.4010127510411825, 0.39979338052887775, 0.3980463342393387, 0.4005559387761427, 0.40110056633905056, 0.4014296656600561, 0.4029438086506866, 0.4035391327102268, 0.40330864404183836, 0.40299165934050113, 0.40108899314645935, 0.4007770373591431, 0.4024662882893147, 0.4020709766732791]","[0.07986665917128828, 0.5757217821073717, 0.41803468179432274, 0.4059466263972943, 0.4054781912346579, 0.4062506822088442, 0.40423941590329715, 0.4021320099808054, 0.4036914910251, 0.4062114479627313, 0.4067777272701562, 0.4082830412027372, 0.4083280137959886, 0.40821237917660097, 0.407735924081061, 0.4056687215552806, 0.40560076831243774, 0.4071753023512312, 0.4071967860581637, 0.40619418888329584]"
tanh,batch,0.001,"[5000, 128, 64, 90]",32,3.808849334716797,"{'Hamming Loss': array(0.02029887), 'Accuracy': array(0.1988417), 'Precision': array(0.2020592), 'Recall': array(0.16414009), 'F1 Score': array(0.18113643)}","{'Hamming Loss': array(0.0195981), 'Accuracy': array(0.23053991), 'Precision': array(0.23815833), 'Recall': array(0.1920406), 'F1 Score': array(0.21262753)}","[0.6932413394919751, 0.076789642785976, 0.4202232782812831, 0.4029202181271614, 0.36567958053120697, 0.34569918763570956, 0.34790139155206745, 0.3482105636227222, 0.34856986242744165, 0.3498420750951708, 0.35014532995944986, 0.34900312386390947, 0.3477923449517312, 0.34712008133073413, 0.34915165873754167, 0.34982902886391143, 0.34910056783644094, 0.34898339527374883, 0.3486631569082247, 0.348399984947007, 0.34977430140881105, 0.3510540058889831, 0.3502936517637029, 0.34953278552051403, 0.3488868558805674, 0.34834890192665385, 0.34853294804458146, 0.35043668613406054, 0.3497595697487941, 0.3489566795951165]","[0.07677472112086328, 0.42228029392953503, 0.4050354490445412, 0.36874156964145005, 0.3476233270149106, 0.3521553100496986, 0.35242191818048724, 0.35242650813002235, 0.3535145647982348, 0.3538980307242128, 0.3528430893480395, 0.35190600441037706, 0.3513317566083989, 0.3525902581434266, 0.3539064291285098, 0.3531076377334341, 0.3530233820378421, 0.3529203649072109, 0.35267700949187686, 0.35368417344365044, 0.35495807617756747, 0.354043734476256, 0.35338169057756685, 0.3529870583402155, 0.35253087145398826, 0.3527339773833026, 0.35417153805057544, 0.35350716843909086, 0.3531039525139868, 0.3524524314190358]"
tanh,sgd,0.01,"[5000, 128, 90]",32,180.86940932273865,"{'Hamming Loss': array(0.00500501), 'Accuracy': array(0.68725869), 'Precision': array(0.95160089), 'Recall': array(0.66806064), 'F1 Score': array(0.78501229)}","{'Hamming Loss': array(0.00549851), 'Accuracy': array(0.70354422), 'Precision': array(0.85399622), 'Recall': array(0.72489316), 'F1 Score': array(0.78416643)}","[0.052185881362290534, 0.04233417627735064, 0.03910026030406289, 0.035624141739935854, 0.032723450960545006, 0.03053673765335326, 0.028773592828137406, 0.02721517458573396, 0.025863490499519397, 0.024605970956369873, 0.023489019291410878, 0.022534742043727383, 0.021529648788184596, 0.020695711732369237, 0.01985370271544605, 0.019116434511859702, 0.018428198237105627, 0.017747059203449673, 0.017181473846859224, 0.016574628916580993]","[0.04409184846353126, 0.04118889142973401, 0.03764816692837798, 0.033873290496437614, 0.031533540815428834, 0.030052044798199222, 0.027995152750811596, 0.027662053251212466, 0.025806932424952893, 0.0243210904591657, 0.02358902774641284, 0.02279329704917708, 0.021857091780560164, 0.021240664962288963, 0.020466815820301028, 0.0201100453543251, 0.019399741852346615, 0.01888063039541921, 0.0182324588286714, 0.017826098637377993]"
tanh,sgd,0.01,"[5000, 128, 90]",32,269.9653356075287,"{'Hamming Loss': array(0.00435435), 'Accuracy': array(0.74002574), 'Precision': array(0.93641232), 'Recall': array(0.73131208), 'F1 Score': array(0.82125037)}","{'Hamming Loss': array(0.00556108), 'Accuracy': array(0.72275588), 'Precision': array(0.80347921), 'Recall': array(0.78952991), 'F1 Score': array(0.79644349)}","[0.05227792911873084, 0.042295102018161855, 0.038875279888371174, 0.035420764095367464, 0.03264252281318327, 0.03048919156458727, 0.0287727495647643, 0.027284471262414154, 0.025863906494518363, 0.024659254590383782, 0.023562013275626334, 0.02254561653479257, 0.021618524491257292, 0.020738774329757525, 0.019953855184037323, 0.01917921370717422, 0.018468216808312257, 0.017812857839313197, 0.017209840709065508, 0.016634190740241424, 0.016079390512882496, 0.015535511220256192, 0.015091849045965115, 0.01464936709875494, 0.01421715155275043, 0.013790425631625438, 0.01342889186924659, 0.01307143329744663, 0.012743050582792995, 0.012421922913020423]","[0.04363656318653959, 0.04015497188354129, 0.036723223910776495, 0.034264052738710166, 0.03137940922531569, 0.029962479046665505, 0.02827714422648233, 0.02685671528399646, 0.025510248373602606, 0.024587834394818615, 0.02383029916692246, 0.02277411149923862, 0.02191830413850006, 0.02123804854142671, 0.020234603506420316, 0.019932462284381242, 0.019420269834629134, 0.018562310249898788, 0.018832399245943616, 0.01764799233507628, 0.017938059643089782, 0.017035819459973827, 0.016851765947274014, 0.01650721602282274, 0.016713137092989872, 0.016013132240249504, 0.015359474698471334, 0.015282027262345212, 0.015100058022703106, 0.014934157627947812]"
tanh,sgd,0.01,"[5000, 128, 64, 90]",32,218.17155623435974,"{'Hamming Loss': array(0.0035893), 'Accuracy': array(0.79279279), 'Precision': array(0.93468885), 'Recall': array(0.7929953), 'F1 Score': array(0.85803167)}","{'Hamming Loss': array(0.00476243), 'Accuracy': array(0.75786684), 'Precision': array(0.82597126), 'Recall': array(0.82905983), 'F1 Score': array(0.82751266)}","[0.049397563502539994, 0.03992268666955277, 0.03311502615546112, 0.02855996932647689, 0.0253433312512652, 0.02261884561704642, 0.02019671059863374, 0.018299144641421624, 0.016735899516679843, 0.015505056073132673, 0.01446170731464639, 0.013359924025025463, 0.01257518249714584, 0.011928958395132704, 0.01111080201463497, 0.010521063457509184, 0.01001306851659277, 0.00934884789207713, 0.008901615427494205, 0.008556342484250988]","[0.041876532002067854, 0.035892604349105996, 0.03329177974864375, 0.0270128332331274, 0.023903988881286187, 0.022033754815764656, 0.020537541191393574, 0.01878501911317454, 0.019269192343871956, 0.016951293540837832, 0.01620496703220099, 0.0186914766367159, 0.015965589185695826, 0.014559712991831373, 0.015335451812248335, 0.014555930813389314, 0.013961996765272724, 0.014108022999558477, 0.015541107226557922, 0.012407702929538723]"
tanh,sgd,0.01,"[5000, 128, 64, 90]",32,327.3749260902405,"{'Hamming Loss': array(0.00339625), 'Accuracy': array(0.80501931), 'Precision': array(0.94164619), 'Recall': array(0.80135912), 'F1 Score': array(0.8658571)}","{'Hamming Loss': array(0.00448272), 'Accuracy': array(0.77442862), 'Precision': array(0.84116694), 'Recall': array(0.83173077), 'F1 Score': array(0.83642224)}","[0.0497889347407801, 0.040311095231052974, 0.03392274717406538, 0.0293359120331919, 0.026055834396561856, 0.023350121817584394, 0.02107882329211317, 0.019309869884938182, 0.01763647242029567, 0.01628135857296618, 0.015045635497319259, 0.013953108654823111, 0.013102140053558598, 0.0122991389865972, 0.011566980909618406, 0.010921616952147427, 0.010300032559347765, 0.009826703499522185, 0.00934012768872264, 0.00878752715606444, 0.008421853518312268, 0.007988576734277728, 0.007584359125391038, 0.007191140272551925, 0.0068496814962174775, 0.006623784399689572, 0.006366287565105582, 0.006032933521930789, 0.005657311449669802, 0.005554978359925364]","[0.04163240280925916, 0.03710048230855998, 0.032056151117897135, 0.0272002676124667, 0.026272111137367035, 0.022912646326580032, 0.02207222743876605, 0.01865496039131403, 0.018860058041733862, 0.018176601360569346, 0.016681756623862287, 0.01796330961565505, 0.01596833843446238, 0.015292249523653757, 0.014581057202772729, 0.01424411162478633, 0.015710963198726762, 0.013776543970667207, 0.01369819319657182, 0.014701831774401795, 0.01367795077624022, 0.012950424928481825, 0.012434956171728868, 0.01183427645480486, 0.012395703049263709, 0.01224906765553595, 0.012479423226982641, 0.011987593904089208, 0.011748061963811098, 0.012891984117088431]"
tanh,sgd,0.001,"[5000, 128, 90]",32,180.56618356704712,"{'Hamming Loss': array(0.01033891), 'Accuracy': array(0.3024453), 'Precision': array(0.99365751), 'Recall': array(0.2456874), 'F1 Score': array(0.39396479)}","{'Hamming Loss': array(0.01012108), 'Accuracy': array(0.33620404), 'Precision': array(0.97972973), 'Recall': array(0.27110043), 'F1 Score': array(0.42468619)}","[0.0965400430056326, 0.049149738125044404, 0.048276450634620355, 0.0475774583899984, 0.046772924581406194, 0.04593988770238493, 0.045137714809395546, 0.044420617550991796, 0.043856529132545195, 0.04336220302962294, 0.042935792208251916, 0.042544786021609056, 0.042194636634694346, 0.041855419644629105, 0.04153803486771936, 0.04124670375170112, 0.04094521903014141, 0.04064596612620326, 0.040360426146075386, 0.04004318346992674]","[0.05002614611119311, 0.048698741170360195, 0.04811672816534898, 0.04722854783692624, 0.046291689522266345, 0.04540340829982453, 0.04467330981049544, 0.044083359644801416, 0.04351437987460085, 0.04300908361150402, 0.04262878313389814, 0.04225978712855358, 0.04195797772894453, 0.041595354020808585, 0.04132663781697419, 0.040999179755198054, 0.04073069672287486, 0.04041366317899255, 0.04011756264326245, 0.039820217842122266]"
tanh,sgd,0.001,"[5000, 128, 90]",32,270.9139633178711,"{'Hamming Loss': array(0.00933791), 'Accuracy': array(0.39060489), 'Precision': array(0.99349593), 'Recall': array(0.31939362), 'F1 Score': array(0.48338608)}","{'Hamming Loss': array(0.00826249), 'Accuracy': array(0.49519709), 'Precision': array(0.98637249), 'Recall': array(0.40598291), 'F1 Score': array(0.57521287)}","[0.09698069476421638, 0.04922515495382934, 0.048440268674517714, 0.047815847224057205, 0.047120367131028976, 0.046337937483915285, 0.04553429062816375, 0.04483671057904046, 0.04422413495261347, 0.043704515914016286, 0.043247224652312954, 0.04284179620820312, 0.04246665599406571, 0.0421344104176464, 0.041806238290854954, 0.041483443649614614, 0.04118275469448826, 0.04086502815149432, 0.040566708163789614, 0.04024965682637512, 0.03993162420873185, 0.03960620258050632, 0.03928030774902787, 0.03894951049921989, 0.03860077431289593, 0.03825819636268748, 0.03788501796494726, 0.03754329876421632, 0.037182958631575516, 0.03681583703677212]","[0.049954212335998095, 0.04872232118802926, 0.04813482139721335, 0.047513621171556525, 0.046751735114817325, 0.045862040860264915, 0.04510232004358622, 0.044435886077745526, 0.0438843327127737, 0.043358839311987356, 0.04296448244434499, 0.04252988199930645, 0.042150730473154985, 0.041866369473254256, 0.041511669619933654, 0.04130734404495411, 0.04095319118549928, 0.04068176216447798, 0.04035424708015247, 0.04010474328516697, 0.039738646663472064, 0.039449679533747055, 0.039155747482254616, 0.03875578492342434, 0.03845429015112244, 0.0380585706184128, 0.037767916909901895, 0.03741802912675936, 0.0370432775596042, 0.03670703357553385]"
tanh,sgd,0.001,"[5000, 128, 64, 90]",32,217.9472074508667,"{'Hamming Loss': array(0.00887316), 'Accuracy': array(0.44723295), 'Precision': array(0.94919786), 'Recall': array(0.3711448), 'F1 Score': array(0.53363397)}","{'Hamming Loss': array(0.0084097), 'Accuracy': array(0.50944021), 'Precision': array(0.9204611), 'Recall': array(0.42654915), 'F1 Score': array(0.58295309)}","[0.07642398314102257, 0.04938744552258937, 0.04881048783297385, 0.04792930994428942, 0.04623471010242335, 0.044537493614026334, 0.043395335060364845, 0.04255126369519845, 0.041837831783020744, 0.041225354595652304, 0.04067396861973604, 0.04020615258360824, 0.03973009844024832, 0.039313245252449926, 0.03896115644513821, 0.03853905635795519, 0.03816618601726569, 0.03767481465341044, 0.03713163583183939, 0.03645439362667797]","[0.04986448035498865, 0.049254688635432434, 0.04855158302042572, 0.04709381342211375, 0.045312341701155154, 0.04390722114313917, 0.04272919027696329, 0.04196664066269577, 0.04145435269384478, 0.04084825249321116, 0.040499815868828025, 0.040136651240406565, 0.03969034910550812, 0.03939332296837228, 0.03877761416740094, 0.038714104635246764, 0.038094094360744145, 0.037470410721749114, 0.03695477949530926, 0.03628433609947598]"
tanh,sgd,0.001,"[5000, 128, 64, 90]",32,327.99423265457153,"{'Hamming Loss': array(0.00718576), 'Accuracy': array(0.54697555), 'Precision': array(0.95858586), 'Recall': array(0.49607946), 'F1 Score': array(0.65380641)}","{'Hamming Loss': array(0.00723934), 'Accuracy': array(0.58164955), 'Precision': array(0.89123734), 'Recall': array(0.54059829), 'F1 Score': array(0.67298421)}","[0.07661521420695717, 0.0493907548493402, 0.04885450313405196, 0.04806289091816075, 0.04642921757346955, 0.04463701086937532, 0.043383536601936064, 0.04254545652507516, 0.04188055207116885, 0.04124834680938163, 0.04075061728064628, 0.040276444717413006, 0.03986501412580043, 0.03946289895182596, 0.03913780621078857, 0.03877583877667089, 0.03840261269641912, 0.03799520746592495, 0.037477730093165414, 0.03690924531321425, 0.03617399849510196, 0.03531017046702239, 0.034403592737939914, 0.03353654565246681, 0.032734618495629246, 0.03205062081762808, 0.031437754711516934, 0.03087461552371505, 0.030355380735551725, 0.02984913285763256]","[0.049885743034577996, 0.04913434036129332, 0.04855154177241125, 0.04745840290501471, 0.04534558306432569, 0.043795746937161255, 0.042796922309857814, 0.04209566899055135, 0.04137318754859644, 0.04104282899637513, 0.040367014954529545, 0.040168875482377006, 0.039764089204726336, 0.0393523371237887, 0.03898620009489022, 0.03879429625433172, 0.038251652625683884, 0.038087333948596556, 0.03742630538701181, 0.03676081661688671, 0.03601475870162434, 0.03517806010103869, 0.034297796633330505, 0.03343794677715206, 0.032897626014475045, 0.03213279620789281, 0.03162086880534865, 0.031238390143035356, 0.030685857977306278, 0.030433999002530212]"
sigmoid,mini_batch,0.01,"[5000, 128, 90]",32,7.500013589859009,"{'Hamming Loss': array(0.00837266), 'Accuracy': array(0.47361647), 'Precision': array(0.97081218), 'Recall': array(0.39989545), 'F1 Score': array(0.56645687)}","{'Hamming Loss': array(0.00778771), 'Accuracy': array(0.53163299), 'Precision': array(0.9452954), 'Recall': array(0.46153846), 'F1 Score': array(0.62024408)}","[0.05611582626506469, 0.05108112806808682, 0.04842683886552462, 0.04578683248169346, 0.04430344548632451, 0.04329884345868254, 0.042505276926722485, 0.04182215255944224, 0.04135459272745555, 0.04100191562747198, 0.040011765186928915, 0.039393013802015715, 0.03872730506439103, 0.03791583468627551, 0.03706906009854375, 0.03635896418782207, 0.0355107957845221, 0.03486562693210161, 0.034217604135855784, 0.03369204631118663]","[0.05008530445712141, 0.04865033163905433, 0.04640787021475373, 0.04440368430537035, 0.04403448681778017, 0.04353010169873958, 0.04179642508333302, 0.04148664474776681, 0.04120663349894755, 0.04043389382997707, 0.03992342569304113, 0.039074634413796994, 0.03799716470095544, 0.037510275139914034, 0.037116964355353464, 0.036384915750423956, 0.035183727997552185, 0.034990925101871885, 0.034325616848142164, 0.03353312269201653]"
sigmoid,mini_batch,0.01,"[5000, 128, 90]",32,11.15630841255188,"{'Hamming Loss': array(0.00736451), 'Accuracy': array(0.54118404), 'Precision': array(0.95375128), 'Recall': array(0.48510193), 'F1 Score': array(0.64310464)}","{'Hamming Loss': array(0.00707004), 'Accuracy': array(0.58893673), 'Precision': array(0.91337868), 'Recall': array(0.53792735), 'F1 Score': array(0.67708859)}","[0.056395103083309334, 0.05140767494928429, 0.04835421748576523, 0.0458530380791503, 0.04417456055469921, 0.043223112337210295, 0.042507535850551635, 0.041801014818522865, 0.04121158269426381, 0.04078632306583225, 0.040150934811789156, 0.039272470304293185, 0.03850857729371422, 0.037880575269825766, 0.03708142775751299, 0.03621757530410864, 0.03550221954862397, 0.0349766185211599, 0.03427548443161265, 0.033794169242678126, 0.03308451946075837, 0.03258981560648753, 0.03213324883917677, 0.03179118930007529, 0.031313641170596616, 0.030849378067753005, 0.030454228291651873, 0.0300607177695842, 0.029805776288234102, 0.02966919248818134]","[0.05054949832572537, 0.04861022236657898, 0.04624182241953567, 0.04424591776162079, 0.0431560913095166, 0.042485616838985746, 0.041872273334051066, 0.04135178340819358, 0.04064342376758123, 0.040784005792846245, 0.03957163650409016, 0.038866712135713605, 0.03805481519347825, 0.037218566117061175, 0.03662973550967828, 0.035738683583302566, 0.035281826964131076, 0.0346087566679965, 0.03400773103926987, 0.033397448216456176, 0.03312955417622758, 0.03273419481939025, 0.031976718426289845, 0.031911555310302986, 0.031050757841848825, 0.030932695926703904, 0.03079385770613576, 0.02995362941787444, 0.030538462862014393, 0.02944665983281227]"
sigmoid,mini_batch,0.01,"[5000, 128, 64, 90]",32,8.833762168884277,"{'Hamming Loss': array(0.01013156), 'Accuracy': array(0.31917632), 'Precision': array(0.97509579), 'Recall': array(0.26607423), 'F1 Score': array(0.41806982)}","{'Hamming Loss': array(0.01010268), 'Accuracy': array(0.33719775), 'Precision': array(0.944), 'Recall': array(0.28365385), 'F1 Score': array(0.43622921)}","[0.056832996840469344, 0.050971494071752395, 0.05026379640593921, 0.04996619686656988, 0.04992364948995025, 0.049677662880724366, 0.04959218822751797, 0.04945273016168851, 0.049165322339820294, 0.04849215948340436, 0.04608355932487297, 0.043881283182121214, 0.04259010774200795, 0.041818994189817105, 0.04113611247949276, 0.04037402592832675, 0.040100750003886416, 0.039163336814114706, 0.039228118886154906, 0.038300717050611395]","[0.04954944212809391, 0.05017820228428679, 0.049939358219968394, 0.049404714315229206, 0.049969337701730544, 0.04979042077736648, 0.04941356271351768, 0.04922279761581131, 0.048430520949455595, 0.0461905801390106, 0.043172275932447664, 0.04180072038181069, 0.04342434575943862, 0.04107899699591625, 0.039896224984075475, 0.0415511602381851, 0.03880372385783953, 0.03821444628088082, 0.03812911324246191, 0.037449426580550345]"
sigmoid,mini_batch,0.01,"[5000, 128, 64, 90]",32,13.247060537338257,"{'Hamming Loss': array(0.00961676), 'Accuracy': array(0.37580438), 'Precision': array(0.90226629), 'Recall': array(0.33298484), 'F1 Score': array(0.48644521)}","{'Hamming Loss': array(0.01034191), 'Accuracy': array(0.38920172), 'Precision': array(0.76594533), 'Recall': array(0.35924145), 'F1 Score': array(0.48909091)}","[0.05733799910327429, 0.05067638428610612, 0.0500078324169675, 0.050029540774747805, 0.049782919328262, 0.04984160961565718, 0.04965037735087141, 0.04955393192336823, 0.049173695271898354, 0.04849557392006217, 0.046132866369630474, 0.04405787144113736, 0.042537493036923404, 0.041531005345057666, 0.04120932927611545, 0.04088273341292944, 0.04008905363450286, 0.03944839201822863, 0.038981951417505024, 0.03861397738991457, 0.038123656049666145, 0.0371531902239924, 0.03688794339844478, 0.036377738235731184, 0.03607191265914268, 0.035895697681091514, 0.03484209496281066, 0.03468662952213137, 0.03406492066999449, 0.03359652157095501]","[0.05099148456619214, 0.04946486194980372, 0.05153365361750678, 0.049628236039235336, 0.049239429317655035, 0.049803115698358096, 0.049292232879248304, 0.049418106429605896, 0.04898604305528584, 0.046530269555641886, 0.04443056039163207, 0.04219986458029357, 0.040995816913994426, 0.04403853055432255, 0.03973026209344957, 0.04003058131665355, 0.038913247525292356, 0.03840623434837663, 0.03769601692917518, 0.03759238728408709, 0.03711551914861691, 0.036133273611089846, 0.03579306999611958, 0.035322386190495124, 0.036249224311180474, 0.03470141271573392, 0.03402691751692995, 0.03338492344813817, 0.033525306093519086, 0.03339748839740234]"
